				Antennas	j																																																																																												
				1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94
8	45361	143,22	226,84	74,30	69,44	47,78	47,14	40,39	24,96	22,83	15,40	14,21	12,87	21,81	11,83	26,22	12,10	10,71	10,85	11,02	2,86	14,09	1,64	9,19	5,46	8,89	8,51	11,80	3,13	9,11	6,62	5,53	9,78	11,59	7,48	8,49	7,17	11,71	8,97	11,12	10,29	8,82	9,92	9,69	10,35	9,82	10,11	10,63	10,62	10,81	9,70	10,80	11,34	10,87	14,59	32,49	16,80	15,16	15,03	15,78	13,97	15,51	21,36	18,25	18,83	20,00	33,75	27,59	26,23	27,83	34,83	35,07	88,86	40,63	41,49	46,33	69,90	50,12	50,28	71,17	55,66	62,50	64,00	60,85	62,23	79,24	102,32	113,52	113,34	119,31	122,97	128,02	141,52	148,84	149,43	173,26	184,41
9	41198	146,07	240,53	60,36	55,45	35,89	35,13	29,05	10,97	9,15	1,42	0,24	1,70	15,12	15,97	24,19	18,27	17,32	18,13	18,34	11,78	16,92	13,26	18,60	13,90	18,99	19,46	21,69	17,11	20,63	19,61	19,48	22,21	23,45	21,01	21,64	20,93	24,35	22,65	24,31	23,79	22,80	23,67	23,58	24,16	23,76	24,04	24,49	24,48	24,65	23,52	24,69	25,10	24,77	27,43	36,38	29,45	28,33	28,81	29,43	27,95	29,49	34,68	32,22	32,81	33,93	41,99	41,16	40,07	40,92	48,59	48,98	102,78	54,58	55,41	60,30	81,86	64,07	63,52	83,57	69,56	76,19	77,71	74,79	73,87	93,22	116,25	127,00	127,19	133,25	136,94	142,00	155,43	162,82	163,34	187,24	198,40
10	30126	115,58	143,69	161,88	156,88	133,44	132,97	125,81	112,45	109,91	102,93	101,75	100,49	105,88	89,93	103,45	87,36	87,41	86,49	86,35	90,13	93,91	88,59	84,69	89,53	83,98	83,13	82,20	84,50	81,82	82,07	82,09	79,90	79,19	80,55	80,06	80,59	77,80	78,89	77,46	77,82	78,87	77,86	77,96	77,37	77,79	77,51	77,04	77,04	76,87	78,59	76,85	76,44	76,76	74,78	94,50	73,12	73,63	72,73	72,18	73,86	72,37	67,38	69,76	68,85	68,29	82,17	60,72	61,47	65,63	53,07	52,55	1,32	47,04	46,13	42,74	41,17	37,54	49,03	36,14	31,97	26,50	24,91	26,79	60,57	11,08	14,76	31,02	25,90	31,82	36,13	41,79	59,34	63,56	66,95	86,66	98,05
11	20884	174,03	143,59	155,07	151,69	120,47	120,42	113,66	110,69	109,93	102,14	101,05	99,28	96,54	97,65	88,93	95,98	95,18	94,53	94,52	89,89	85,90	88,70	91,92	87,05	91,01	89,82	91,14	86,20	88,72	86,79	84,59	86,67	87,37	84,92	85,45	84,32	85,39	83,48	83,97	83,37	81,42	82,50	81,90	81,95	81,41	81,30	81,46	81,40	81,41	79,63	81,13	81,55	80,98	83,59	74,08	83,40	82,07	79,04	79,44	76,93	75,58	78,47	73,17	73,99	71,26	62,26	73,83	71,68	61,22	68,33	65,55	58,45	61,19	61,84	53,06	88,05	57,40	40,56	83,99	57,81	63,03	62,52	55,19	27,32	49,56	63,39	86,11	73,56	72,31	70,91	72,04	72,85	84,71	79,51	109,37	118,39
12	20838	89,00	127,25	186,59	181,23	160,63	160,08	153,05	137,48	134,53	128,21	127,08	126,03	133,23	113,45	132,01	110,80	111,14	110,21	110,04	116,10	121,57	114,58	108,85	116,13	108,27	107,60	106,03	110,36	106,35	107,26	107,93	104,66	103,57	105,98	105,24	106,21	102,52	104,42	102,55	103,17	104,98	103,47	103,76	103,05	103,71	103,41	102,79	102,82	102,61	105,13	102,66	102,05	102,61	99,43	124,36	97,48	98,52	98,38	97,60	100,31	98,93	92,17	96,54	95,27	95,34	112,40	85,80	87,36	94,55	78,72	79,00	30,59	74,18	72,99	71,67	51,07	65,13	79,90	47,09	59,20	51,16	49,76	54,93	91,73	42,33	23,36	0,73	16,67	24,52	30,89	36,50	57,76	55,22	63,35	71,93	83,20
13	19839	112,67	107,27	197,69	192,83	168,06	167,66	160,45	148,35	145,95	138,80	137,61	136,26	140,61	126,31	137,14	123,77	123,77	122,85	122,72	125,81	128,55	124,28	120,98	124,91	120,25	119,35	118,57	120,28	118,04	118,11	117,90	116,08	115,47	116,52	116,12	116,50	114,01	114,85	113,57	113,85	114,60	113,80	113,82	113,29	113,62	113,35	112,93	112,93	112,77	114,13	112,72	112,39	112,63	111,03	126,48	109,44	109,82	108,70	108,23	109,50	107,98	103,64	105,29	104,58	103,70	113,65	96,98	97,49	99,62	89,27	88,50	35,23	82,82	82,05	77,47	73,56	73,36	79,94	68,73	68,09	63,03	61,44	62,74	85,32	44,20	22,04	30,24	15,64	6,68	0,46	5,96	27,08	27,59	33,41	50,14	61,51
14	16291	116,58	168,83	137,72	132,57	110,77	110,23	103,18	88,34	85,60	78,92	77,76	76,61	83,34	65,16	82,27	62,56	62,69	61,76	61,62	66,47	71,67	64,94	60,11	66,33	59,44	58,65	57,49	60,75	57,36	57,92	58,32	55,53	54,66	56,53	55,90	56,68	53,40	54,92	53,24	53,74	55,27	53,93	54,15	53,48	54,06	53,76	53,19	53,21	53,02	55,31	53,04	52,50	52,98	50,34	75,67	48,55	49,29	48,80	48,11	50,49	49,09	42,95	46,66	45,45	45,44	64,50	36,38	37,63	45,30	29,00	29,12	26,47	24,35	23,11	23,26	25,32	15,75	35,77	21,50	10,01	1,36	0,29	8,35	53,29	20,79	39,76	49,97	49,96	56,75	61,28	66,94	83,83	88,67	91,58	111,78	123,19
15	16288	170,16	168,32	130,16	126,70	95,79	95,70	88,86	85,76	85,11	77,34	76,27	74,49	71,52	73,95	64,07	72,50	71,58	71,00	71,02	65,36	60,90	64,24	68,36	62,37	67,46	66,27	67,93	62,02	65,25	63,03	60,59	63,28	64,21	61,20	61,87	60,52	62,22	59,86	60,68	59,93	57,56	58,94	58,25	58,41	57,74	57,66	57,93	57,85	57,90	55,62	57,59	58,13	57,43	60,79	49,53	60,93	59,29	56,02	56,60	53,42	52,19	56,61	50,00	51,12	48,16	37,37	53,02	50,33	37,53	49,03	46,03	60,42	43,06	44,13	36,06	77,73	42,74	20,81	74,68	45,53	53,32	53,44	45,23	2,29	48,96	69,81	90,66	81,50	82,95	83,41	86,16	91,85	102,49	99,19	127,77	137,65
16	13724	151,44	200,51	98,54	94,28	67,16	66,80	59,59	50,84	49,52	41,71	40,56	38,87	39,95	36,71	36,30	35,31	34,36	33,80	33,83	28,91	27,94	27,63	31,15	26,50	30,26	29,07	30,92	24,97	28,10	25,79	23,39	26,19	27,29	23,96	24,68	23,28	25,33	22,66	23,69	22,83	20,32	21,78	21,05	21,26	20,52	20,46	20,78	20,70	20,77	18,42	20,44	21,07	20,28	24,36	28,65	25,00	22,96	19,47	20,29	16,34	15,26	22,17	13,50	15,12	11,94	18,80	21,73	18,28	1,92	23,06	20,84	68,30	23,38	24,83	24,63	62,52	31,38	23,29	61,80	37,27	46,01	47,18	41,34	35,13	57,30	81,27	96,25	92,98	97,73	100,53	105,03	116,62	124,94	124,47	149,89	160,76
17	13035	106,27	125,79	181,77	176,69	153,60	153,13	145,97	132,33	129,71	122,85	121,67	120,44	126,04	109,42	123,59	106,82	106,94	106,01	105,86	110,13	114,08	108,59	104,32	109,62	103,63	102,82	101,73	104,47	101,52	101,91	102,06	99,64	98,85	100,44	99,89	100,52	97,53	98,79	97,27	97,69	98,87	97,77	97,91	97,29	97,76	97,48	96,98	96,98	96,81	98,65	96,79	96,35	96,72	94,48	114,37	92,74	93,38	92,63	92,04	93,90	92,42	87,07	89,83	88,88	88,40	101,90	80,45	81,38	85,77	72,88	72,52	19,02	67,10	66,14	62,90	54,00	57,62	68,39	49,22	51,94	45,61	44,04	46,88	77,78	30,32	6,96	16,72	5,75	13,39	19,30	25,53	46,05	47,07	52,83	68,30	79,78
