				Antennas	j																																																																																												
				1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94
32	3373	123,69	168,14	136,12	131,14	107,93	107,44	100,30	86,70	84,19	77,18	76,00	74,72	80,38	64,48	78,51	61,95	61,92	61,01	60,88	64,37	68,49	62,83	59,12	63,83	58,38	57,50	56,73	58,73	56,18	56,34	56,33	54,23	53,60	54,80	54,33	54,84	52,15	53,14	51,76	52,09	53,11	52,10	52,19	51,61	52,03	51,75	51,28	51,28	51,11	52,86	51,09	50,68	51,00	49,17	70,87	47,58	47,97	46,98	46,45	48,12	46,63	41,78	44,04	43,10	42,62	59,24	35,12	35,73	40,93	27,41	26,79	27,01	21,30	20,37	18,09	32,24	11,84	29,11	28,59	6,23	7,12	6,99	1,40	46,22	18,42	40,48	53,61	51,54	57,51	61,43	66,77	82,35	88,16	90,21	111,96	123,26
33	579	124,61	106,65	195,56	190,93	164,73	164,39	157,18	146,54	144,39	137,00	135,80	134,36	137,55	125,60	133,27	123,14	123,01	122,11	122,00	123,86	125,51	122,35	120,07	122,60	119,28	118,31	117,86	118,50	117,00	116,73	116,19	114,96	114,55	115,05	114,79	114,93	112,96	113,37	112,35	112,49	112,81	112,29	112,22	111,76	111,96	111,71	111,37	111,36	111,23	112,10	111,14	110,92	111,03	110,08	121,66	108,68	108,78	107,31	106,97	107,65	106,10	102,81	103,36	102,87	101,66	108,74	96,20	96,30	96,42	88,48	87,33	36,84	81,51	80,94	75,28	78,15	72,31	75,47	73,17	67,58	63,97	62,42	62,14	78,32	43,10	25,79	40,41	24,60	17,00	11,75	10,47	21,22	27,33	28,89	52,36	63,15
34	447	125,14	171,34	132,64	127,67	104,42	103,93	96,80	83,22	80,73	73,69	72,51	71,23	76,87	61,11	75,07	58,60	58,55	57,64	57,51	60,87	64,99	59,33	55,72	60,31	54,98	54,08	53,36	55,24	52,77	52,88	52,84	50,80	50,20	51,33	50,88	51,35	48,73	49,67	48,31	48,62	49,61	48,63	48,71	48,13	48,54	48,26	47,79	47,80	47,63	49,35	47,60	47,21	47,52	45,76	67,61	44,21	44,54	43,50	42,99	44,61	43,12	38,38	40,53	39,60	39,11	56,11	31,72	32,26	37,55	24,00	23,30	30,50	17,79	16,87	14,84	32,81	8,32	26,86	29,57	2,90	8,36	8,87	2,56	44,71	21,59	43,96	57,01	55,05	60,98	64,84	70,13	85,46	91,46	93,33	115,35	126,63
35	672	127,62	166,92	136,20	131,33	107,29	106,83	99,66	86,85	84,48	77,30	76,11	74,77	79,73	65,27	77,35	62,80	62,68	61,78	61,67	64,33	67,75	62,80	59,78	63,54	59,01	58,06	57,53	58,78	56,75	56,66	56,41	54,74	54,26	55,05	54,69	55,01	52,71	53,37	52,18	52,40	53,11	52,32	52,33	51,80	52,12	51,85	51,44	51,44	51,29	52,68	51,23	50,91	51,14	49,79	69,01	48,35	48,52	47,24	46,81	48,02	46,51	42,48	43,84	43,08	42,30	57,08	35,87	36,09	39,56	28,14	27,09	27,33	21,34	20,65	16,60	36,35	11,98	25,87	32,69	7,77	11,23	11,03	3,28	42,39	17,39	40,63	55,30	52,06	57,50	61,06	66,18	80,95	87,29	88,84	111,43	122,65
36	371	128,14	90,64	210,66	206,16	179,17	178,87	171,69	161,89	159,85	152,37	151,17	149,68	152,24	141,43	147,46	139,00	138,82	137,94	137,83	139,20	140,26	137,70	135,84	137,77	135,04	134,05	133,71	133,93	132,73	132,34	131,65	130,68	130,34	130,63	130,43	130,47	128,71	128,94	128,03	128,11	128,25	127,86	127,74	127,33	127,47	127,22	126,92	126,91	126,78	127,44	126,67	126,50	126,56	125,87	135,19	124,53	124,54	122,93	122,65	123,08	121,53	118,66	118,78	118,39	117,03	122,26	112,09	112,04	111,23	104,39	103,11	53,24	97,28	96,77	90,74	94,29	88,21	89,64	89,33	83,65	80,31	78,77	78,22	90,17	59,21	41,79	52,86	38,20	29,36	22,85	17,10	4,82	14,67	12,58	39,54	49,38
37	4605	128,78	178,27	124,96	120,04	96,59	96,10	88,97	75,57	73,14	66,03	64,84	63,54	69,05	53,87	67,32	51,40	51,27	50,38	50,26	53,14	57,17	51,60	48,37	52,52	47,60	46,66	46,12	47,54	45,34	45,30	45,15	43,34	42,85	43,72	43,32	43,71	41,30	42,04	40,79	41,04	41,89	40,99	41,04	40,49	40,85	40,58	40,14	40,14	39,98	41,57	39,93	39,58	39,84	38,38	60,27	36,94	37,11	35,90	35,44	36,85	35,36	31,08	32,74	31,86	31,29	49,10	24,47	24,70	29,98	16,75	15,70	38,24	10,04	9,25	8,10	35,73	0,58	22,60	33,39	5,52	14,41	15,48	10,23	41,78	28,79	51,67	64,71	62,85	68,65	72,37	77,55	92,28	98,70	100,18	122,80	134,04
38	2442	128,81	83,89	217,20	212,73	185,55	185,26	178,08	168,50	166,49	158,99	157,80	156,30	158,70	148,16	153,78	145,74	145,55	144,66	144,56	145,82	146,73	144,32	142,55	144,35	141,75	140,75	140,44	140,57	139,44	139,02	138,30	137,38	137,06	137,30	137,11	137,13	135,42	135,62	134,73	134,80	134,90	134,54	134,41	134,00	134,13	133,88	133,60	133,58	133,46	134,06	133,34	133,18	133,23	132,59	141,33	131,26	131,26	129,62	129,35	129,73	128,18	125,39	125,43	125,06	123,67	128,41	118,83	118,75	117,73	111,13	109,84	59,96	104,00	103,51	97,41	100,82	94,96	96,01	95,88	90,42	87,09	85,54	84,99	95,92	65,98	48,33	58,14	44,04	35,08	28,61	22,53	2,19	11,57	5,80	34,52	43,72
39	378	129,14	223,08	82,71	77,33	60,15	59,41	53,13	34,10	30,87	25,52	24,54	24,03	35,86	9,56	40,78	6,92	7,30	6,38	6,20	17,15	28,53	16,21	5,89	19,91	5,82	6,06	2,82	13,33	5,73	9,00	12,32	6,44	4,69	9,86	8,49	10,82	6,49	10,21	8,24	9,38	13,23	10,67	11,63	11,04	12,19	12,10	11,47	11,57	11,41	15,56	11,79	10,90	11,94	7,70	45,57	8,20	9,22	12,40	11,86	15,50	16,47	13,95	18,44	17,35	20,26	43,96	20,37	20,93	31,07	28,06	29,51	81,84	35,33	35,72	42,70	57,63	44,23	50,95	59,51	49,02	54,33	55,90	54,45	66,43	73,45	95,28	104,11	105,64	112,33	116,55	121,97	137,09	143,35	144,99	167,11	178,44
40	364	131,08	201,78	101,83	96,77	75,17	74,58	67,63	52,40	49,79	42,94	41,78	40,61	48,05	30,26	48,60	27,83	27,66	26,76	26,65	30,52	36,94	28,99	24,74	30,65	23,98	23,07	22,53	24,78	21,75	21,98	22,35	19,79	19,22	20,54	19,96	20,68	17,72	18,92	17,34	17,76	19,41	17,93	18,18	17,49	18,12	17,82	17,22	17,24	17,03	19,77	17,07	16,51	17,02	14,76	46,12	13,35	13,53	12,81	12,12	14,99	13,78	7,48	11,91	10,16	11,50	38,63	1,57	2,32	18,70	7,06	8,12	61,39	13,95	14,41	21,45	44,77	23,05	31,84	45,09	28,21	34,67	36,18	33,56	49,76	52,40	74,88	85,72	85,68	91,92	95,86	101,12	115,80	122,33	123,71	146,35	157,62
41	361	133,84	238,44	66,83	61,36	46,94	46,11	40,62	19,36	15,74	13,00	12,56	13,21	27,31	6,56	35,53	9,15	9,11	10,02	10,15	15,01	25,71	15,59	12,09	18,81	12,92	13,98	14,30	16,98	15,27	16,40	18,42	17,38	17,57	18,27	18,03	18,77	19,25	19,85	20,12	20,30	21,61	20,90	21,34	21,46	21,77	21,93	21,93	21,98	22,02	23,39	22,24	22,08	22,38	22,03	45,55	23,45	23,38	25,33	25,42	26,36	27,83	29,31	30,48	30,25	32,40	48,42	35,94	35,88	41,79	43,68	44,80	97,78	50,63	51,17	57,49	72,79	59,81	63,67	75,01	64,81	70,36	71,93	70,21	76,81	89,14	111,24	120,11	121,68	128,30	132,44	137,79	152,51	159,07	160,42	182,98	194,28
42	1344	133,96	237,26	67,83	62,39	47,49	46,68	41,08	20,08	16,52	13,26	12,72	13,21	27,26	5,44	35,23	8,06	7,96	8,87	9,01	14,19	25,14	14,69	10,91	18,02	11,74	12,80	13,16	15,91	14,09	15,24	17,30	16,20	16,40	17,11	16,85	17,62	18,07	18,68	18,94	19,13	20,48	19,73	20,18	20,29	20,62	20,77	20,76	20,81	20,85	22,27	21,07	20,90	21,21	20,86	44,92	22,30	22,21	24,15	24,24	25,20	26,67	28,15	29,31	29,07	31,23	47,55	34,79	34,71	40,66	42,52	43,63	96,65	49,46	50,00	56,31	71,88	58,64	62,51	74,06	63,66	69,25	70,82	69,06	75,72	87,98	110,11	119,06	120,57	127,17	131,30	136,64	151,34	157,91	159,25	181,84	193,14
43	975	145,24	234,16	66,70	61,85	40,92	40,23	33,72	17,38	15,45	7,84	6,64	5,28	16,70	12,85	23,68	14,54	13,31	13,94	14,15	5,39	13,59	6,84	13,66	8,06	13,84	14,05	16,76	10,73	15,09	13,57	13,12	16,41	17,87	14,82	15,58	14,66	18,51	16,42	18,27	17,63	16,40	17,41	17,25	17,87	17,41	17,69	18,18	18,17	18,35	17,10	18,36	18,84	18,44	21,55	33,48	23,66	22,33	22,55	23,23	21,53	23,08	28,65	25,80	26,43	27,51	37,41	35,02	33,79	34,68	42,36	42,66	96,45	48,22	49,08	53,88	76,55	57,72	57,26	78,05	63,25	70,01	71,52	68,45	68,17	86,83	109,91	120,94	120,91	126,91	130,56	135,60	149,01	156,40	156,91	180,84	191,99
44	320	145,57	249,06	52,42	47,33	31,41	30,55	25,64	3,55	0,84	7,19	8,35	10,04	18,40	21,44	28,64	24,05	23,45	24,35	24,54	20,29	24,23	21,74	25,47	22,40	26,04	26,72	28,38	25,45	27,98	27,49	27,75	29,77	30,74	29,04	29,50	29,07	31,90	30,71	32,11	31,73	31,13	31,76	31,76	32,27	31,99	32,25	32,64	32,64	32,79	31,98	32,86	33,17	32,96	34,98	42,61	36,86	36,02	36,86	37,37	36,30	37,85	42,36	40,60	41,08	42,35	49,54	48,94	48,10	49,47	56,51	57,07	110,82	62,74	63,52	68,67	88,24	72,20	72,07	90,24	77,60	83,96	85,50	82,88	82,14	101,44	124,30	134,48	135,12	141,33	145,12	150,24	163,86	171,14	171,77	195,49	206,67
45	311	145,70	247,38	53,95	48,90	32,13	31,29	26,09	4,70	2,35	5,51	6,67	8,36	17,44	20,22	27,59	22,80	22,14	23,03	23,23	18,62	22,71	20,08	24,05	20,73	24,59	25,24	27,00	23,81	26,50	25,92	26,12	28,26	29,27	27,45	27,93	27,46	30,39	29,11	30,56	30,16	29,49	30,16	30,15	30,67	30,37	30,63	31,03	31,03	31,19	30,32	31,25	31,57	31,34	33,47	41,30	35,37	34,49	35,27	35,80	34,66	36,21	40,83	38,95	39,45	40,69	48,02	47,41	46,52	47,79	54,95	55,48	109,24	61,14	61,93	67,02	86,98	70,60	70,39	88,92	76,02	82,43	83,97	81,29	80,50	99,83	122,72	133,02	133,57	139,75	143,52	148,63	162,21	169,51	170,12	193,88	205,05
46	733	147,12	219,87	80,14	75,54	51,30	50,77	43,71	31,42	29,82	22,06	20,89	19,26	23,93	18,94	25,07	18,47	17,19	16,98	17,10	9,09	12,90	7,82	14,60	7,18	13,91	12,95	16,06	6,11	12,70	9,40	6,01	11,91	13,88	8,43	9,85	7,48	12,80	8,58	11,27	9,94	5,92	8,74	7,84	8,75	7,49	7,76	8,65	8,56	8,82	4,51	8,54	9,61	8,49	14,54	27,35	16,64	14,28	12,30	13,46	9,19	10,45	19,24	12,82	14,12	14,16	26,50	24,36	22,17	20,26	30,73	30,36	83,66	35,50	36,55	40,31	68,29	44,95	42,85	69,01	50,71	58,19	59,62	55,68	54,27	73,56	97,03	109,43	108,31	113,92	117,30	122,18	135,04	142,72	142,93	167,35	178,42
47	512	147,45	191,66	107,85	103,46	76,83	76,45	69,24	59,60	57,99	50,26	49,08	47,47	49,53	42,99	45,99	41,18	40,46	39,76	39,74	37,17	37,48	35,76	37,19	35,23	36,29	35,11	36,25	32,53	33,96	32,31	30,57	31,87	32,47	30,44	30,80	29,96	30,49	28,90	29,14	28,63	27,21	27,87	27,38	27,31	26,94	26,78	26,83	26,77	26,75	25,78	26,51	26,81	26,36	28,67	37,44	28,57	27,15	24,12	24,51	22,35	20,91	24,04	18,35	19,06	16,43	26,14	20,81	17,88	8,40	18,72	15,83	58,69	16,13	17,61	15,35	56,05	22,68	14,96	54,75	28,41	37,39	38,44	32,10	30,75	47,62	71,60	86,94	83,34	88,03	90,83	95,35	107,20	115,35	115,07	140,26	151,16
48	3488	147,70	248,03	52,71	47,78	30,09	29,26	24,00	3,29	3,18	6,26	7,45	8,93	16,05	22,04	26,32	24,58	23,86	24,74	24,94	19,40	22,35	20,91	25,63	21,18	26,13	26,71	28,62	24,79	27,95	27,17	27,15	29,64	30,74	28,63	29,20	28,58	31,78	30,28	31,85	31,38	30,48	31,31	31,24	31,81	31,43	31,71	32,14	32,14	32,31	31,17	32,35	32,73	32,44	34,86	40,42	36,82	35,83	36,45	37,03	35,62	37,16	42,18	39,89	40,49	41,59	47,63	48,71	47,70	48,31	56,20	56,63	110,43	62,25	63,07	67,97	88,71	71,73	70,90	90,59	77,20	83,75	85,28	82,44	80,55	100,90	123,90	134,46	134,81	140,91	144,61	149,68	163,07	170,49	170,97	194,92	206,07
49	7095	150,47	178,45	120,57	116,36	88,57	88,27	81,08	72,84	71,37	63,60	62,43	60,78	61,74	56,47	56,97	54,58	53,91	53,19	53,16	50,59	49,86	49,21	50,64	48,46	49,74	48,58	49,55	46,06	47,40	45,85	44,13	45,30	45,78	43,98	44,30	43,51	43,82	42,42	42,54	42,10	40,76	41,38	40,91	40,82	40,48	40,32	40,34	40,29	40,26	39,32	40,03	40,28	39,88	41,80	45,94	41,46	40,28	37,44	37,72	35,89	34,43	36,41	31,82	32,36	29,89	33,23	31,87	29,62	21,33	27,09	24,14	50,18	20,92	22,00	14,29	57,42	21,74	1,51	54,98	25,81	34,61	35,17	27,30	20,91	38,47	62,24	79,86	74,21	77,96	80,14	84,25	94,82	103,54	102,64	128,67	139,39
50	404	153,07	262,71	37,10	32,30	20,14	19,19	17,70	12,39	15,43	21,86	23,03	24,35	24,80	36,93	34,20	39,55	39,00	39,92	40,10	34,82	35,13	36,34	41,05	36,11	41,60	42,25	43,96	40,34	43,50	42,81	42,72	45,24	46,28	44,26	44,83	44,20	47,38	45,91	47,48	47,02	46,01	46,93	46,84	47,42	47,02	47,29	47,75	47,75	47,92	46,56	47,95	48,36	48,03	50,46	49,83	52,38	51,45	52,07	52,67	51,12	52,65	57,80	55,35	56,04	57,01	59,35	64,34	63,33	63,04	71,83	72,24	126,04	77,83	78,68	83,39	103,70	87,32	85,51	105,78	92,82	99,39	100,92	98,05	93,64	116,43	139,51	150,03	150,45	156,51	160,17	165,19	178,30	185,91	186,19	210,42	221,54
51	319	154,17	264,70	34,89	30,16	19,01	18,07	17,43	14,64	17,69	24,08	25,26	26,54	26,37	39,18	35,50	41,81	41,27	42,18	42,36	37,00	36,99	38,53	43,31	38,22	43,86	44,51	46,23	42,54	45,76	45,05	44,93	47,49	48,54	46,49	47,08	46,42	49,63	48,13	49,73	49,26	48,21	49,16	49,05	49,64	49,23	49,50	49,97	49,97	50,14	48,73	50,16	50,58	50,25	52,71	51,19	54,64	53,70	54,30	54,90	53,31	54,83	60,05	57,53	58,24	59,17	60,97	66,59	65,56	65,09	74,07	74,46	128,26	80,04	80,89	85,55	105,95	89,53	87,52	108,03	95,04	101,63	103,16	100,26	95,40	118,62	141,73	152,29	152,68	158,72	162,36	167,37	180,41	188,06	188,30	212,59	223,71
52	333	154,17	216,96	81,88	77,68	50,78	50,38	43,17	34,78	33,92	26,14	25,07	23,29	23,36	26,32	21,28	26,02	24,71	24,55	24,68	14,76	11,31	13,98	22,22	11,33	21,53	20,57	23,65	13,57	20,29	17,01	13,62	19,34	21,26	15,91	17,28	14,95	19,95	15,76	18,29	16,95	12,79	15,65	14,66	15,50	14,18	14,39	15,24	15,14	15,39	10,65	15,03	16,15	14,93	21,18	20,22	23,08	20,58	17,83	19,07	13,78	14,39	24,35	15,74	17,65	16,27	19,04	28,21	25,38	17,78	33,36	32,32	83,97	36,73	37,97	40,10	72,40	45,82	39,84	72,66	51,73	59,85	61,19	56,35	48,95	73,33	97,16	110,93	108,70	113,82	116,83	121,45	133,29	141,53	141,14	166,42	177,34
53	379	154,30	247,23	51,90	47,49	25,29	24,54	18,49	7,18	9,66	9,54	10,39	10,88	10,50	26,53	20,80	28,87	27,93	28,73	28,95	20,52	19,62	22,06	29,09	21,12	29,43	29,79	32,20	26,25	30,90	29,46	28,68	32,30	33,71	30,63	31,47	30,38	34,41	32,18	34,15	33,45	31,75	33,13	32,86	33,55	32,94	33,24	33,82	33,80	34,00	31,96	33,96	34,54	34,02	37,46	35,74	39,56	38,21	38,23	38,99	36,69	38,17	44,51	40,80	41,71	42,33	44,24	50,80	49,37	47,69	57,99	58,09	111,77	63,50	64,45	68,59	92,32	73,00	70,07	93,91	78,65	85,68	87,17	83,75	78,20	101,83	125,19	136,73	136,34	142,12	145,57	150,47	163,14	170,98	171,03	195,64	206,70
54	430	154,54	213,74	85,04	80,87	53,65	53,27	46,06	38,02	37,13	29,33	28,25	26,47	26,36	28,57	23,49	28,03	26,78	26,53	26,64	17,63	14,36	16,73	24,07	14,38	23,32	22,28	25,18	15,73	21,83	18,66	15,35	20,63	22,43	17,32	18,60	16,37	20,93	16,87	19,19	17,89	13,84	16,56	15,56	16,30	15,03	15,19	15,98	15,87	16,09	11,54	15,71	16,79	15,59	21,71	20,22	23,42	20,91	17,82	19,06	13,60	13,87	23,90	14,67	16,72	14,84	17,00	27,07	24,03	14,80	31,64	30,36	81,31	34,48	35,77	37,42	71,05	43,40	36,66	71,10	49,33	57,61	58,92	53,83	45,79	70,54	94,43	108,55	106,03	111,03	113,96	118,53	130,20	138,52	138,05	163,44	174,34
55	381	155,91	218,65	80,01	75,91	48,57	48,18	40,98	33,47	32,84	25,14	24,12	22,32	21,26	26,89	18,85	26,82	25,47	25,40	25,54	14,65	9,28	14,11	23,19	10,95	22,57	21,68	24,88	14,42	21,53	18,22	14,84	20,78	22,75	17,31	18,72	16,36	21,58	17,35	19,97	18,63	14,48	17,36	16,39	17,26	15,95	16,18	17,06	16,96	17,21	12,49	16,87	17,99	16,78	23,03	18,50	25,00	22,53	19,92	21,17	15,97	16,67	26,56	18,12	20,00	18,69	18,79	30,58	27,78	19,90	35,79	34,75	86,28	39,13	40,38	42,40	74,78	48,20	41,68	75,06	54,11	62,26	63,60	58,70	50,05	75,58	99,44	113,32	111,01	116,07	119,03	123,62	135,28	143,61	143,13	168,54	179,44
56	1032	156,12	183,64	114,90	110,90	82,21	81,95	74,81	68,06	66,91	59,08	57,95	56,23	55,85	53,79	50,36	52,18	51,34	50,71	50,71	46,41	44,21	45,14	48,08	43,87	47,18	45,99	47,44	42,43	44,91	42,92	40,75	42,89	43,69	41,05	41,60	40,45	41,70	39,62	40,22	39,56	37,55	38,66	38,04	38,11	37,55	37,44	37,62	37,56	37,58	35,80	37,29	37,74	37,14	40,12	38,62	40,19	38,61	35,41	35,93	33,09	31,77	35,83	29,44	30,44	27,56	25,79	32,49	29,67	17,36	29,38	26,36	57,84	24,70	26,03	19,89	63,31	27,80	8,00	61,23	32,50	41,51	42,19	34,54	18,94	46,11	69,82	87,53	81,80	85,40	87,41	91,37	101,23	110,31	108,99	135,53	146,13
57	1493	158,56	294,16	6,47	0,40	33,46	33,12	38,68	44,10	46,60	53,65	54,84	56,23	54,96	67,37	62,64	70,03	69,71	70,64	70,80	66,72	66,34	68,24	72,11	68,01	72,75	73,52	74,85	72,18	74,81	74,42	74,55	76,66	77,52	75,96	76,43	75,95	78,78	77,62	79,04	78,67	77,87	78,67	78,63	79,17	78,83	79,10	79,52	79,52	79,68	78,47	79,73	80,08	79,82	81,84	78,11	83,64	82,93	83,78	84,31	83,00	84,54	89,24	87,25	87,88	88,92	89,15	95,85	95,03	94,82	103,44	103,99	157,75	109,63	110,44	115,30	133,23	119,11	117,16	135,74	124,53	130,83	132,37	129,80	124,09	148,29	171,23	181,04	182,04	188,26	192,01	197,07	210,20	217,83	218,09	242,31	253,45
58	1273	161,00	239,48	58,88	55,07	27,43	26,96	19,80	17,28	18,99	14,83	14,86	13,97	0,26	29,39	10,59	31,17	29,94	30,54	30,76	18,99	12,23	20,26	29,99	17,63	30,02	29,97	33,01	24,29	30,79	28,43	26,54	31,60	33,39	29,03	30,21	28,49	33,50	30,27	32,73	31,72	28,91	31,01	30,45	31,30	30,36	30,67	31,43	31,38	31,62	28,36	31,48	32,32	31,49	36,28	25,59	38,51	36,65	35,72	36,72	33,17	34,48	42,53	36,81	38,15	38,02	34,85	48,21	46,17	41,30	54,75	54,34	107,20	59,32	60,43	63,43	91,53	68,68	63,00	92,59	74,51	82,18	83,60	79,36	69,46	96,74	120,47	133,42	131,91	137,22	140,32	144,98	156,70	165,04	164,54	189,95	200,86
59	430	162,67	208,88	89,43	85,71	56,17	55,93	48,83	44,73	44,41	36,83	35,85	34,05	30,42	37,95	24,29	37,48	36,22	35,99	36,10	26,39	19,71	25,69	33,54	22,78	32,79	31,74	34,60	25,13	31,27	28,12	24,82	30,00	31,74	26,74	28,00	25,80	30,14	26,20	28,38	27,12	23,18	25,80	24,81	25,49	24,27	24,39	25,12	25,02	25,22	20,85	24,84	25,87	24,70	30,61	14,65	32,12	29,64	26,30	27,49	22,10	21,97	31,60	21,92	24,02	21,39	7,56	33,42	30,07	15,87	36,37	34,45	81,48	37,37	38,80	38,30	76,10	45,31	33,62	75,59	51,17	59,98	61,12	55,05	38,96	70,19	94,19	109,92	106,03	110,36	112,79	117,01	127,31	136,29	135,07	161,44	172,12
60	884	163,19	245,37	52,93	49,33	21,18	20,69	13,57	15,96	18,74	17,18	17,62	17,33	6,44	33,41	14,18	35,46	34,33	35,02	35,24	24,39	18,51	25,78	34,81	23,51	34,95	35,05	37,90	29,93	35,97	33,87	32,25	36,98	38,66	34,64	35,73	34,16	38,96	35,97	38,32	37,38	34,81	36,76	36,27	37,09	36,22	36,53	37,25	37,21	37,45	34,41	37,32	38,11	37,35	41,84	29,88	44,05	42,31	41,60	42,55	39,23	40,57	48,33	42,96	44,24	44,21	40,19	54,16	52,23	47,57	60,84	60,50	113,47	65,54	66,63	69,72	97,15	74,92	69,17	98,34	80,74	88,34	89,77	85,61	75,08	103,02	126,75	139,58	138,17	143,50	146,60	151,26	162,92	171,31	170,75	196,22	207,13
61	478	165,11	298,74	1,64	7,63	35,61	35,47	41,84	50,35	53,12	59,84	61,02	62,30	59,61	74,25	66,48	76,90	76,51	77,44	77,61	72,72	71,34	74,25	78,78	73,73	79,38	80,10	81,60	78,29	81,37	80,78	80,69	83,16	84,12	82,25	82,81	82,18	85,29	83,89	85,45	85,00	83,95	84,92	84,82	85,41	84,99	85,26	85,73	85,73	85,90	84,41	85,93	86,34	86,01	88,37	81,60	90,24	89,39	90,06	90,65	89,03	90,55	95,74	93,23	93,98	94,84	93,16	102,31	101,32	100,18	109,81	110,22	164,02	115,79	116,65	121,18	140,48	125,29	122,30	142,88	130,81	137,34	138,87	136,02	128,24	154,33	177,49	187,82	188,43	194,48	198,08	203,05	215,72	223,62	223,60	248,25	259,32
62	353	166,93	203,66	94,70	91,21	60,72	60,56	53,59	51,09	50,94	43,43	42,47	40,67	36,07	44,54	28,77	43,97	42,73	42,46	42,56	33,13	26,04	32,41	39,96	29,53	39,18	38,10	40,84	31,70	37,55	34,48	31,24	36,15	37,80	33,01	34,20	32,09	36,10	32,32	34,33	33,12	29,35	31,82	30,86	31,47	30,30	30,39	31,06	30,96	31,14	27,02	30,76	31,74	30,61	36,25	15,87	37,56	35,15	31,69	32,81	27,62	27,23	36,29	26,67	28,71	25,77	3,28	37,12	33,68	17,69	38,86	36,57	79,95	38,54	40,02	38,01	78,16	45,55	30,69	77,23	51,22	60,24	61,26	54,59	33,20	68,39	92,28	109,06	104,22	108,07	110,16	114,12	123,50	132,88	131,19	158,14	168,66
63	744	167,08	248,38	50,05	46,87	16,82	16,44	9,23	18,94	22,18	21,70	22,24	22,08	10,88	38,19	16,11	40,29	39,18	39,88	40,10	29,29	22,77	30,66	39,72	28,31	39,86	39,96	42,81	34,80	40,89	38,77	37,11	41,89	43,58	39,52	40,62	39,03	43,86	40,83	43,21	42,25	39,60	41,61	41,10	41,93	41,03	41,34	42,08	42,03	42,27	39,13	42,14	42,95	42,16	46,73	31,57	48,94	47,18	46,41	47,38	43,94	45,25	53,17	47,58	48,93	48,79	42,77	58,94	56,94	51,64	65,53	65,11	117,85	70,07	71,19	74,03	102,04	79,40	72,88	103,20	85,25	92,95	94,37	90,06	77,84	107,29	131,09	144,20	142,57	147,78	150,79	155,37	166,70	175,26	174,51	200,25	211,10
64	9845	168,50	255,84	42,75	39,87	9,45	8,96	1,92	20,67	24,38	26,15	26,95	27,21	18,14	43,12	23,47	45,42	44,43	45,20	45,42	35,64	30,17	37,09	45,36	35,10	45,61	45,85	48,48	41,30	46,87	45,03	43,67	48,06	49,63	45,95	46,96	45,53	50,10	47,35	49,60	48,73	46,36	48,19	47,76	48,55	47,73	48,04	48,74	48,70	48,93	46,06	48,82	49,56	48,86	53,06	38,62	55,24	53,63	53,12	54,03	50,89	52,25	59,76	54,66	55,91	55,94	50,16	65,72	63,88	59,15	72,50	72,21	125,20	77,27	78,36	81,43	108,30	86,66	80,47	109,65	92,47	100,04	101,48	97,34	85,26	114,72	138,47	151,28	149,91	155,20	158,27	162,88	174,29	182,82	182,10	207,79	218,66
65	398	169,02	184,03	114,41	110,95	80,14	80,03	73,15	70,33	69,86	62,15	61,12	59,32	55,79	60,25	48,34	59,07	58,04	57,55	57,60	50,63	45,36	49,62	54,91	47,42	54,03	52,85	54,91	47,83	51,97	49,42	46,67	50,14	51,34	47,66	48,51	46,89	49,39	46,49	47,72	46,80	43,91	45,68	44,88	45,19	44,34	44,31	44,72	44,63	44,72	41,79	44,38	45,08	44,22	48,44	34,06	49,00	47,03	43,56	44,35	40,37	39,35	45,57	37,56	39,05	35,90	21,66	43,43	40,26	24,93	41,46	38,50	67,75	37,43	38,80	32,75	76,20	40,61	18,93	74,04	45,09	53,97	54,54	46,65	13,47	55,91	78,84	97,92	90,81	93,48	94,77	98,15	105,73	115,77	113,26	141,10	151,31
66	559	169,50	257,59	41,15	38,44	7,44	6,96	0,57	22,07	25,83	27,94	28,77	29,08	20,14	44,93	25,23	47,25	46,28	47,06	47,28	37,62	32,17	39,07	47,26	37,11	47,52	47,78	50,38	43,29	48,81	47,00	45,66	50,01	51,58	47,93	48,93	47,52	52,06	49,34	51,57	50,72	48,37	50,18	49,75	50,54	49,73	50,04	50,73	50,69	50,92	48,07	50,82	51,56	50,86	55,03	40,22	57,20	55,61	55,12	56,02	52,90	54,27	61,75	56,68	57,93	57,96	51,91	67,72	65,89	61,13	74,51	74,22	127,20	79,29	80,38	83,43	110,25	88,67	82,39	111,62	94,49	102,05	103,49	99,36	87,00	116,72	140,47	153,29	151,92	157,20	160,26	164,86	176,22	184,78	184,02	209,76	220,62
